negative_pairing,pair_label,metric,mean,std,n_pairs
current,negative,loc_ratio,0.5615623952398714,0.2340342493374594,17084
current,negative,token_ratio,0.6026316617115136,0.22241081796745293,17084
current,negative,token_jaccard,0.1392898166913913,0.05132052484387888,17084
current,negative,ast_node_ratio,0.5020635798591099,0.27946830619087876,17084
current,negative,endpoint_style_distance,25.01581755607968,14.376729615225841,17084
current,positive,loc_ratio,0.7870111323226625,0.19548379145830952,17084
current,positive,token_ratio,0.7920909743548505,0.20087108702486137,17084
current,positive,token_jaccard,0.702331222806832,0.19775280805733456,17084
current,positive,ast_node_ratio,0.8200386655028138,0.27798650893766885,17084
current,positive,endpoint_style_distance,8.944552534853074,10.168163988753507,17084
hard,negative,loc_ratio,0.6702976027780785,0.20590834595430413,17084
hard,negative,token_ratio,0.6864611841101779,0.19743682662026224,17084
hard,negative,token_jaccard,0.17727822449673453,0.10425976757097867,17084
hard,negative,ast_node_ratio,0.6578681673837458,0.24083341040390768,17084
hard,negative,endpoint_style_distance,7.93384335976221,6.163837774670728,17084
hard,positive,loc_ratio,0.7870111323226625,0.19548379145830952,17084
hard,positive,token_ratio,0.7920909743548505,0.20087108702486137,17084
hard,positive,token_jaccard,0.702331222806832,0.19775280805733456,17084
hard,positive,ast_node_ratio,0.8200386655028138,0.27798650893766885,17084
hard,positive,endpoint_style_distance,8.944552534853074,10.168163988753507,17084
random,negative,loc_ratio,0.5604817889851895,0.2345105786220089,17084
random,negative,token_ratio,0.6008268669902903,0.2229456701887923,17084
random,negative,token_jaccard,0.1397688009712366,0.05223448276260044,17084
random,negative,ast_node_ratio,0.5032085410238847,0.2814835795321716,17084
random,negative,endpoint_style_distance,25.018882203051792,14.604044582819999,17084
random,positive,loc_ratio,0.7870111323226625,0.19548379145830952,17084
random,positive,token_ratio,0.7920909743548505,0.20087108702486137,17084
random,positive,token_jaccard,0.702331222806832,0.19775280805733456,17084
random,positive,ast_node_ratio,0.8200386655028138,0.27798650893766885,17084
random,positive,endpoint_style_distance,8.944552534853074,10.168163988753507,17084
