negative_pairing,baseline_f1_mean,baseline_f1_std,mstf_f1_mean,mstf_f1_std,delta_f1_mean,delta_f1_std,ci_95_low,ci_95_high,n_fold_records
current,0.9149157323442745,0.015617973301812416,0.931746916903546,0.014933454036496674,0.016831184559271604,0.008927091399264168,0.014660397049516957,0.019322463998887714,60
random,0.9119408464963992,0.01725826373437598,0.9299871418711274,0.016042422855477707,0.018046295374728367,0.009461705981716008,0.016473142566280675,0.018960517659674807,60
hard,0.846320241343339,0.022136174988015983,0.8823704054860859,0.020674231986980502,0.03605016414274688,0.015984407386846665,0.03430884213564545,0.03807562443180769,60
