contrast,left,right,cluster_unit,n_seeds,n_folds,mean_delta_f1,metric_deltas,per_seed_delta_f1,direction_counts,ci_95
C1,A1,A0,seed,3,240,0.011532764800922187,"{'f1': {'mean': 0.011532764800922187, 'std': 0.018876887070674128}, 'precision': {'mean': 0.03572763459871838, 'std': 0.022878146514022462}, 'recall': {'mean': -0.011432621414316033, 'std': 0.026817123602256104}, 'auroc': {'mean': 0.008689164917835774, 'std': 0.007331178833686121}, 'mcc': {'mean': 0.028536687948092585, 'std': 0.03604666555733218}}","{'42': 0.012592957101890026, '123': 0.010679186907896956, '2024': 0.01132615039297958}","{'positive': 3, 'zero': 0, 'negative': 0}","{'method': 'seed_cluster_bootstrap', 'replicates': 10000, 'seed': 250217749, 'low': 0.010679186907896954, 'high': 0.012592957101890026}"
C2,A2,A0,seed,3,240,0.049755354182173514,"{'f1': {'mean': 0.049755354182173514, 'std': 0.02142057746284164}, 'precision': {'mean': 0.05239226934616325, 'std': 0.028696698269192755}, 'recall': {'mean': 0.046638054076228876, 'std': 0.029139343404916796}, 'auroc': {'mean': 0.023906458199279317, 'std': 0.011778431182378292}, 'mcc': {'mean': 0.09948175787314852, 'std': 0.042720644398010994}}","{'42': 0.05099646937372987, '123': 0.0508152723504249, '2024': 0.047454320822365774}","{'positive': 3, 'zero': 0, 'negative': 0}","{'method': 'seed_cluster_bootstrap', 'replicates': 10000, 'seed': 250217749, 'low': 0.047454320822365774, 'high': 0.05099646937372987}"
C3,A4,A1,seed,3,240,0.04658768095658785,"{'f1': {'mean': 0.04658768095658785, 'std': 0.02344634130792102}, 'precision': {'mean': 0.04210040005735736, 'std': 0.024301880126642982}, 'recall': {'mean': 0.050052624970513694, 'std': 0.033971797229520276}, 'auroc': {'mean': 0.018667574497544557, 'std': 0.011346349930792043}, 'mcc': {'mean': 0.0895605663700618, 'std': 0.043899062427267814}}","{'42': 0.046785123810465, '123': 0.047983676503476236, '2024': 0.04499424255582233}","{'positive': 3, 'zero': 0, 'negative': 0}","{'method': 'seed_cluster_bootstrap', 'replicates': 10000, 'seed': 250217749, 'low': 0.04499424255582233, 'high': 0.047983676503476236}"
C4,A5,A4,seed,3,240,7.208032024047425e-05,"{'f1': {'mean': 7.208032024047425e-05, 'std': 0.007182336794962052}, 'precision': {'mean': -0.0002322621371759509, 'std': 0.007271665167080451}, 'recall': {'mean': 0.0003624186842609613, 'std': 0.01144871035515962}, 'auroc': {'mean': -0.00010011356700262616, 'std': 0.0014460227850139164}, 'mcc': {'mean': 0.00012369563627391694, 'std': 0.013544136292918904}}","{'42': 4.7838033091968105e-06, '123': 7.914839385255723e-05, '2024': 0.0001323087635596687}","{'positive': 3, 'zero': 0, 'negative': 0}","{'method': 'seed_cluster_bootstrap', 'replicates': 10000, 'seed': 250217749, 'low': 4.7838033091968105e-06, 'high': 0.0001323087635596687}"
C5,A5,A0,seed,3,240,0.058192526077750516,"{'f1': {'mean': 0.058192526077750516, 'std': 0.022884327970523165}, 'precision': {'mean': 0.07759577251889978, 'std': 0.02934413763353162}, 'recall': {'mean': 0.03898242224045863, 'std': 0.031034826037165692}, 'auroc': {'mean': 0.0272566258483777, 'std': 0.012688183248559614}, 'mcc': {'mean': 0.11822094995442829, 'std': 0.0451561820253768}}","{'42': 0.05938286471566423, '123': 0.058742011805225744, '2024': 0.05645270171236157}","{'positive': 3, 'zero': 0, 'negative': 0}","{'method': 'seed_cluster_bootstrap', 'replicates': 10000, 'seed': 250217749, 'low': 0.056452701712361573, 'high': 0.05938286471566423}"
