contrast,left,right,cluster_unit,n_seeds,n_folds,mean_delta_f1,metric_deltas,per_seed_delta_f1,direction_counts,ci_95
C1,A1,A0,seed,3,60,0.016831184559271604,"{'f1': {'mean': 0.016831184559271604, 'std': 0.008927091399264168}, 'precision': {'mean': 0.039233953596720876, 'std': 0.013077587507086215}, 'recall': {'mean': -0.005500480566983914, 'std': 0.012015496692252993}, 'auroc': {'mean': 0.01000840829070416, 'std': 0.003463394891560409}, 'mcc': {'mean': 0.03747671433090368, 'std': 0.01806497063903331}}","{'42': 0.016510692629410146, '123': 0.019322463998887714, '2024': 0.014660397049516955}","{'positive': 3, 'zero': 0, 'negative': 0}","{'method': 'seed_cluster_bootstrap', 'replicates': 10000, 'seed': 250217749, 'low': 0.014660397049516957, 'high': 0.019322463998887714}"
C2,A2,A0,seed,3,60,0.04592354369878366,"{'f1': {'mean': 0.04592354369878366, 'std': 0.014885253425263041}, 'precision': {'mean': 0.05465897885555161, 'std': 0.020572459175780714}, 'recall': {'mean': 0.036755348362303396, 'std': 0.017710249523679382}, 'auroc': {'mean': 0.02100759781725642, 'std': 0.007798629295313587}, 'mcc': {'mean': 0.09314211054626119, 'std': 0.030218391547695747}}","{'42': 0.04686844830342928, '123': 0.04831909268154446, '2024': 0.04258309011137722}","{'positive': 3, 'zero': 0, 'negative': 0}","{'method': 'seed_cluster_bootstrap', 'replicates': 10000, 'seed': 250217749, 'low': 0.04258309011137721, 'high': 0.04831909268154446}"
C3,A4,A1,seed,3,60,0.04091873690755522,"{'f1': {'mean': 0.04091873690755522, 'std': 0.013588208900902076}, 'precision': {'mean': 0.04018417658911465, 'std': 0.013513616131845697}, 'recall': {'mean': 0.04145940743503447, 'std': 0.018382683303077883}, 'auroc': {'mean': 0.01491034500968536, 'std': 0.00593899848471271}, 'mcc': {'mean': 0.08033418202509396, 'std': 0.02587991373683799}}","{'42': 0.043003195354504295, '123': 0.04052627364459602, '2024': 0.03922674172356534}","{'positive': 3, 'zero': 0, 'negative': 0}","{'method': 'seed_cluster_bootstrap', 'replicates': 10000, 'seed': 250217749, 'low': 0.03922674172356534, 'high': 0.04300319535450429}"
C4,A5,A4,seed,3,60,-0.00018501521720219274,"{'f1': {'mean': -0.00018501521720219274, 'std': 0.0034124750356231597}, 'precision': {'mean': 0.00016229168668574118, 'std': 0.004427137910194095}, 'recall': {'mean': -0.0005114897288708601, 'std': 0.0046420631457072}, 'auroc': {'mean': 8.479878483665382e-05, 'std': 0.0005507031008990727}, 'mcc': {'mean': -0.0003214170489194812, 'std': 0.006689404052666309}}","{'42': 0.0005208525308834977, '123': -0.0007915383401316701, '2024': -0.00028435984235840593}","{'positive': 1, 'zero': 0, 'negative': 2}","{'method': 'seed_cluster_bootstrap', 'replicates': 10000, 'seed': 250217749, 'low': -0.0007915383401316702, 'high': 0.0005208525308834977}"
C5,A5,A0,seed,3,60,0.057564906249624626,"{'f1': {'mean': 0.057564906249624626, 'std': 0.014566816571075723}, 'precision': {'mean': 0.07958042187252126, 'std': 0.01933883415536717}, 'recall': {'mean': 0.03544743713917969, 'std': 0.019836114127249813}, 'auroc': {'mean': 0.025003552085226168, 'std': 0.007673793803874253}, 'mcc': {'mean': 0.11748947930707813, 'std': 0.02924539216298888}}","{'42': 0.060034740514797943, '123': 0.059057199303352056, '2024': 0.05360277893072389}","{'positive': 3, 'zero': 0, 'negative': 0}","{'method': 'seed_cluster_bootstrap', 'replicates': 10000, 'seed': 250217749, 'low': 0.053602778930723884, 'high': 0.06003474051479794}"
