environment,frozen_registry_sha256,group,gain_mean,gain_sd,permutation_mean,permutation_sd,n_folds
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:original_style,0.019603127755675256,0.0036559946139218084,0.0002460969295558779,0.002829207718887629,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:lexical,0.015459598486674457,0.0036699697972699167,0.0004405798955858076,0.003314258243276436,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:structural_syntax,0.015822032990205532,0.0038734459556176246,0.0001399941709958959,0.0020572807748515374,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:formatting_layout,0.008005857660429957,0.0021028906920760302,7.990744391845329e-05,0.0018915167942758064,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:original_style,0.022012301982683346,0.0029906488805982374,0.0005815374528490273,0.0027463614218034386,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:lexical,0.01726277638337448,0.003929206651536461,0.0013555588236396966,0.003911082092837295,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:structural_syntax,0.026136996537212798,0.005501015021875014,0.0008117574318245779,0.003215864250917153,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:formatting_layout,0.007393773114979056,0.0017852283161580802,0.0003205150209667551,0.0019153102839439343,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:original_style,0.07998466319347072,0.036917675273811276,0.007510056919585219,0.008509016986360373,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:lexical,0.12939078124363873,0.018455257681128056,0.005439363203010918,0.008141877928999527,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:structural_syntax,0.17036410533220978,0.033705551202273726,0.0027827604742243256,0.005712742597131587,60
