environment,frozen_registry_sha256,feature,gain_mean,gain_sd,n_folds
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:original_style_07,0.002407382643967247,0.0007618303105832359,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:original_style_08,0.002732942721533033,0.0013232459178381427,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:original_style_09,0.002367751666333942,0.0008820891611380312,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:lexical_00,0.003540329266895737,0.0007549787838500724,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:lexical_01,0.003181179674200412,0.0010055866230269778,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:lexical_02,0.003067187574206907,0.0010081061003170027,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:lexical_03,0.002272367187723427,0.0009536431782223365,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:lexical_04,0.002266099739978776,0.0006435354848236652,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:lexical_05,0.002935612940369219,0.0010767204236240863,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:structural_syntax_00,0.0032978487747751307,0.0013447985728977042,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:structural_syntax_01,0.0016398175329243462,0.0005901679034529273,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:structural_syntax_02,0.0024261861325745055,0.001511348288437585,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:structural_syntax_03,0.010167021088590932,0.005668913612699345,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:structural_syntax_04,0.002537057514198144,0.0014194584610753428,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:structural_syntax_05,0.0024810787442363716,0.001486345460184019,60
