gate,baseline,method,delta_pp,cells,ci_low_pp,ci_high_pp,ci_source
A,0.9149157323442745,0.9317469169035462,1.6831184559271604,60,1.4660397049516958,1.9322463998887713,results/05_mechanism_analysis/ablation_summary.json
B,0.8914988430842783,0.9671298032333194,7.563096014904112,240,7.452172170882994,7.626869228736875,results/02_unseen_llm/summary.json
C,0.8415260387132605,0.9531278544597213,11.160181574646076,60,10.476017286801424,12.010249689289846,results/03_style_attack/summary.json
D,0.8938137486214468,0.9652215804841137,7.140783186266681,12,7.042615272174052,7.227906913574541,repro/2502.17749/v1/results/04_cross_language/summary.json
