variant,dimensions,clean_f1,unseen_f1
A0,20,0.9149157323442745,0.9089372771555689
A1,30,0.9317469169035462,0.9204700419564912
A2,56,0.9608392760430582,0.9586926313377425
A3,28,0.9682945361059245,0.964108952932598
A4,84,0.9726656538111014,0.967057722913079
A5,112,0.9724806385938991,0.9671298032333194
