negative_mode,baseline,method,delta_pp,cells,ci_low_pp,ci_high_pp,ci_source
current,0.9149157323442745,0.9317469169035462,1.6831184559271604,60,1.4660397049516958,1.9322463998887713,results/negative_pair_robustness/summary.csv
random,0.9119408464963992,0.9299871418711275,1.8046295374728367,60,1.6473142566280674,1.8960517659674807,results/negative_pair_robustness/summary.csv
hard,0.8463202413433392,0.882370405486086,3.605016414274688,60,3.4308842135645454,3.807562443180769,results/negative_pair_robustness/summary.csv
