language,baseline,method,delta_pp,cells,baseline_sample_sd,method_sample_sd,ci_low_pp,ci_high_pp,ci_source
c,0.8922450654251495,0.9656395139257863,7.339444850063674,3,0.004567084227907097,0.0009641822868119607,6.841328066831798,7.77894230130205,repro/2502.17749/v1/results/04_cross_language/summary.json
cpp,0.8975746889497324,0.9723214675555751,7.474677860584278,3,0.003387929039246832,0.0009155439943014092,7.3013338194791055,7.765149283466433,repro/2502.17749/v1/results/04_cross_language/summary.json
java,0.8798973665726182,0.9584189421456554,7.852157557303714,3,0.00763768347245389,0.002104781354124877,7.126981221341855,8.288969735403828,repro/2502.17749/v1/results/04_cross_language/summary.json
py,0.9055378735382872,0.9645063983094377,5.896852477115059,3,0.0017235084577164237,0.0013558387766890545,5.690829818351551,6.11946121116288,repro/2502.17749/v1/results/04_cross_language/summary.json
