environment,gain_mean,gain_sd,group,n_folds,permutation_mean,permutation_sd,source
clean,0.019603127755675256,0.0036559946139218084,human_absolute:original_style,60,0.0002460969295558779,0.002829207718887629,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
clean,0.015459598486674457,0.0036699697972699167,human_absolute:lexical,60,0.0004405798955858076,0.003314258243276436,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
clean,0.015822032990205532,0.0038734459556176246,human_absolute:structural_syntax,60,0.0001399941709958959,0.0020572807748515374,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
clean,0.008005857660429957,0.0021028906920760302,human_absolute:formatting_layout,60,7.990744391845329e-05,0.0018915167942758064,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
clean,0.022012301982683346,0.0029906488805982374,candidate_absolute:original_style,60,0.0005815374528490273,0.0027463614218034386,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
clean,0.01726277638337448,0.003929206651536461,candidate_absolute:lexical,60,0.0013555588236396966,0.003911082092837295,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
clean,0.026136996537212798,0.005501015021875014,candidate_absolute:structural_syntax,60,0.0008117574318245779,0.003215864250917153,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
clean,0.007393773114979056,0.0017852283161580802,candidate_absolute:formatting_layout,60,0.0003205150209667551,0.0019153102839439343,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
clean,0.07998466319347072,0.036917675273811276,delta:original_style,60,0.007510056919585219,0.008509016986360373,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
clean,0.12939078124363873,0.018455257681128056,delta:lexical,60,0.005439363203010918,0.008141877928999527,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
clean,0.17036410533220978,0.033705551202273726,delta:structural_syntax,60,0.0027827604742243256,0.005712742597131587,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
clean,0.014890174027511695,0.0026127470479323307,delta:formatting_layout,60,0.0005627271099023519,0.0020958727287653184,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
clean,0.05657196335219885,0.02719562816838501,relative_delta:original_style,60,0.0006654848458227169,0.0032755845903924487,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
clean,0.10719843316485837,0.026717172451808997,relative_delta:lexical,60,0.003296221347728301,0.006466495531759129,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
clean,0.2954675708356422,0.04258044624362915,relative_delta:structural_syntax,60,0.00846220277975664,0.010260236775496468,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
clean,0.014435843939234817,0.0046647442171054475,relative_delta:formatting_layout,60,9.110261737162081e-05,0.0023699801553911997,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
combined_attack,0.019603127755675256,0.0036559946139218084,human_absolute:original_style,60,-0.00010878855102037787,0.003132789649925538,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
combined_attack,0.015459598486674457,0.0036699697972699167,human_absolute:lexical,60,-0.0003011179639238341,0.004151393092640871,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
combined_attack,0.015822032990205532,0.0038734459556176246,human_absolute:structural_syntax,60,2.004156226297349e-05,0.0025252563531452878,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
combined_attack,0.008005857660429957,0.0021028906920760302,human_absolute:formatting_layout,60,-1.685856186859902e-05,0.002336951926828287,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
combined_attack,0.022012301982683346,0.0029906488805982374,candidate_absolute:original_style,60,0.00027407685467627875,0.003426196350171642,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
combined_attack,0.01726277638337448,0.003929206651536461,candidate_absolute:lexical,60,5.512679501148606e-05,0.004099804441573307,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
combined_attack,0.026136996537212798,0.005501015021875014,candidate_absolute:structural_syntax,60,-0.00011394230250272308,0.0030539819153200926,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
combined_attack,0.007393773114979056,0.0017852283161580802,candidate_absolute:formatting_layout,60,-4.728338742206091e-05,0.00232004393927599,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
combined_attack,0.07998466319347072,0.036917675273811276,delta:original_style,60,0.011229569654432515,0.010475657435377726,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
combined_attack,0.12939078124363873,0.018455257681128056,delta:lexical,60,0.010105032590813754,0.012176756481491401,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
combined_attack,0.17036410533220978,0.033705551202273726,delta:structural_syntax,60,0.00593553772701602,0.008616461122870737,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
combined_attack,0.014890174027511695,0.0026127470479323307,delta:formatting_layout,60,0.00013134579563363243,0.004049483343751195,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
combined_attack,0.05657196335219885,0.02719562816838501,relative_delta:original_style,60,0.0017322744630776838,0.004619688992218251,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
combined_attack,0.10719843316485837,0.026717172451808997,relative_delta:lexical,60,0.0022845055727372166,0.008262266502991666,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
combined_attack,0.2954675708356422,0.04258044624362915,relative_delta:structural_syntax,60,0.02432034348249692,0.01988913164524222,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
combined_attack,0.014435843939234817,0.0046647442171054475,relative_delta:formatting_layout,60,-0.0007365665068591469,0.004304386540650872,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
cross_language,0.017377958607929983,0.00201322559159361,human_absolute:original_style,12,0.0004942254562486648,0.001467473427010572,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
cross_language,0.010009279205557737,0.0013034138532950013,human_absolute:lexical,12,6.684971660099921e-05,0.0020162196534806278,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
cross_language,0.01092414623284898,0.0010370673452339185,human_absolute:structural_syntax,12,4.056931715105498e-07,0.0007553399327741971,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
cross_language,0.004797381513752483,0.0004522176185625349,human_absolute:formatting_layout,12,0.0003365413099733483,0.0009442615195275239,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
cross_language,0.020828436882922283,0.00251469721170614,candidate_absolute:original_style,12,0.0014420777938836948,0.001915818241651229,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
cross_language,0.011719004229385549,0.0010638577438465975,candidate_absolute:lexical,12,0.0010727841163093998,0.0020808481363451237,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
cross_language,0.025684675327841428,0.006390726183514876,candidate_absolute:structural_syntax,12,0.0006647084017329293,0.0011256046443747323,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
cross_language,0.004671792216523307,0.0005018638916037473,candidate_absolute:formatting_layout,12,-1.4245324678160051e-05,0.0005549034852527834,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
cross_language,0.08364433934476899,0.015728809785294555,delta:original_style,12,0.009455458582090986,0.004456078073413352,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
cross_language,0.12051009581890587,0.011800755188699382,delta:lexical,12,0.00889727023178378,0.0055767443516422125,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
cross_language,0.1617385999133125,0.029726210083646024,delta:structural_syntax,12,0.006412852698957684,0.003438580643071643,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
cross_language,0.01695831842877705,0.00293810801971056,delta:formatting_layout,12,0.0006453694043117852,0.0016553362893324667,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
cross_language,0.05637110902723774,0.015099388593401073,relative_delta:original_style,12,0.001526788981813687,0.002237254488355156,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
cross_language,0.10351531865494774,0.027828317145461096,relative_delta:lexical,12,0.0051967050443681535,0.0042180537469175515,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
cross_language,0.3396719606618879,0.059587698101570455,relative_delta:structural_syntax,12,0.007178538313698672,0.0035747318750033977,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
cross_language,0.011577583933400531,0.002546100240665371,relative_delta:formatting_layout,12,-4.2880738502661574e-05,0.0010924878925501536,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
unseen_llm,0.021894321518189055,0.006800556639358585,human_absolute:original_style,240,0.00031432693019072303,0.005275306360588159,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
unseen_llm,0.01655219923964286,0.0047049568472772195,human_absolute:lexical,240,0.001233001439400259,0.00559537187706655,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
unseen_llm,0.016698026483243034,0.004818530736020131,human_absolute:structural_syntax,240,0.00020933859692513212,0.003846505746854354,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
unseen_llm,0.00842478356067489,0.0024241888779883048,human_absolute:formatting_layout,240,-8.158383329492462e-05,0.003941963438018897,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
unseen_llm,0.02356810670296805,0.004469314577129989,candidate_absolute:original_style,240,0.00033623456323009275,0.0057720833616419715,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
unseen_llm,0.018583727131946913,0.004606971530632708,candidate_absolute:lexical,240,0.0013557078915480026,0.006748749979264042,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
unseen_llm,0.02695991362198742,0.008044682307717864,candidate_absolute:structural_syntax,240,0.0005765550908579567,0.005672467159482153,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
unseen_llm,0.008142732614147694,0.002472595875532581,candidate_absolute:formatting_layout,240,-8.276647162056098e-05,0.003757009321427044,results/05_mechanism_analysis/feature_importance/mechanism_summary.json
