generator,baseline,method,delta_pp,cells,ci_low_pp,ci_high_pp,ci_source
gpt3.5,0.8977699317934247,0.9818864601757001,8.411652838227548,60,7.894276792619845,8.76824030575829,results/02_unseen_llm/summary.json
gemini-pro,0.8837168342450351,0.9592120713367787,7.549523709174358,60,7.196020373829761,7.839609560928006,results/02_unseen_llm/summary.json
wizardcoder:33b-v1.1,0.9003144109315836,0.9686709096294331,6.835649869784962,60,6.462816525135651,7.240585027378275,results/02_unseen_llm/summary.json
deepseek-coder:33b-instruct,0.88419419536707,0.9587497717913659,7.455557642429581,60,7.236140873403546,7.838654173011171,results/02_unseen_llm/summary.json
