method,dimensions,f1,precision,recall,auroc,mcc,fit_seconds,predict_seconds,train_rows,test_rows,train_class_counts,test_class_counts
A0,20,0.896551724137931,0.8756476683937824,0.9184782608695652,0.9672510042533081,0.7889878645968675,0.2834995000011986,0.009485000002314337,2920,736,"{""0"": 1460, ""1"": 1460}","{""0"": 368, ""1"": 368}"
A1,30,0.9186206896551725,0.9327731092436975,0.904891304347826,0.9818939035916825,0.8400492847594213,0.21077299999888055,0.023888999989139847,2920,736,"{""0"": 1460, ""1"": 1460}","{""0"": 368, ""1"": 368}"
